	THP1_0H	THP1_0H_2	THP1_0H_3	Avg_expression	log2
TMEM54	143.1418119	146.8890237	111.2827738	133.7712031	7.063623771
TMEM180	130.6585144	127.7673756	142.9618116	133.7959005	7.063890103
ZNF10	143.1418119	111.2532251	147.0232267	133.8060879	7.063999947
FAM174A	113.1818978	137.3281997	151.0846418	133.8649131	7.06463406
LOC100505991	143.9740318	118.2065516	139.7126795	133.964421	7.065706082
C19orf35	124.8329755	138.1973655	138.9003965	133.9769125	7.0658406
LFNG	123.1685359	139.9356971	138.9003965	134.0015432	7.066105805
LOC100507373	122.336316	142.5431946	138.0881134	134.3225414	7.069557621
DUSP2	132.3229541	139.0665313	131.5898493	134.3264449	7.069599546
TRAF1	121.5040962	118.2065516	163.2688871	134.3265116	7.069600263
MT1X	158.9539888	147.7581895	96.66167941	134.4579526	7.071011277
SLC25A25	110.6852383	157.3190136	135.6512644	134.5518387	7.072018296
SHISA7	130.6585144	143.4123604	129.9652832	134.6787193	7.073378098
BATF3	119.8396565	136.4590339	147.8355097	134.7114	7.073728134
LOC100131091	134.8196136	131.2440389	138.0881134	134.7172553	7.073790841
KIAA1024	175.5983856	117.3373858	111.2827738	134.7395151	7.074029202
PBLD	137.3162731	132.1132048	134.8389814	134.7561531	7.074207339
SENP3	132.3229541	149.4965212	122.6547361	134.8247371	7.07494141
MARCH8	144.8062516	121.6832149	138.0881134	134.8591933	7.075310063
HLA-F	117.342997	99.08490356	188.4496607	134.9591871	7.076379379
WNK2	138.9807128	148.6273553	117.7810379	135.129702	7.078201009
A1BG	102.3630399	137.3281997	165.7057361	135.1323252	7.078229015
NAP1L5	131.4907342	126.8982098	147.0232267	135.1373902	7.078283089
ASGR2	137.3162731	152.9731844	115.3441889	135.2112155	7.079071015
B4GALNT3	137.3162731	153.8423503	114.5319059	135.2301764	7.079273312
SIGLECP3	112.349678	140.804863	152.7092078	135.2879162	7.079889175
SLC16A13	130.6585144	138.1973655	137.2758304	135.3772368	7.080841365
C9orf3	132.3229541	167.7490034	106.4090757	135.4936777	7.082081725
SPSB1	124.8329755	150.365687	131.5898493	135.5961706	7.083172625
LOC100133091	114.8463375	143.4123604	148.6477927	135.6354969	7.083590982
ABCB6	123.1685359	124.2907124	160.019755	135.8263344	7.08561941
FBXL15	116.5107772	130.3748731	160.832038	135.9058961	7.086464237
UBOX5	111.5174581	158.1881794	138.0881134	135.9312503	7.086733357
C2orf16	149.7995706	151.2348528	107.2213587	136.0852607	7.088367008
ZBTB42	127.329635	135.589868	145.3986606	136.1060546	7.088587435
PAPSS2	155.6251095	112.9915567	139.7126795	136.1097819	7.088626943
MGC23270	116.5107772	152.9731844	138.9003965	136.1281194	7.088821298
LINC00294	131.4907342	138.1973655	138.9003965	136.1961654	7.089542275
LOC100506661	147.3029111	130.3748731	131.5898493	136.4225445	7.091938266
LMTK3	126.4974152	117.3373858	166.5180191	136.7842734	7.095758557
FLJ39639	129.8262946	160.7956768	120.217887	136.9466195	7.097469843
KMO	143.9740318	106.0382301	160.832038	136.9481	7.09748544
ERCC5	148.9673508	132.9823706	129.1530002	137.0342405	7.098392612
LOC100507094	135.6518334	141.6740288	134.0266983	137.1175202	7.099269113
LOC100507035	146.4706913	112.9915567	151.8969248	137.1197243	7.099292303
TAMM41	156.4573293	148.6273553	106.4090757	137.1645868	7.099764244
FGFR4	124.0007557	163.4031743	124.2793021	137.227744	7.100428378
FIBCD1	150.6317905	145.1506921	116.1564719	137.3129848	7.101324248
ANKRD55	138.1484929	119.9448833	154.3337738	137.4757167	7.103032997
PPP2R3A	146.4706913	106.0382301	160.019755	137.5095588	7.103388099
