Q8A8T4	PF01926
Q8A2N7	PF13932
Q8A7W8	PF00440
Q8A7D2	PF04023
Q8A7D2	PF07664
Q8A7D2	PF17910
Q8A7D2	PF02421
Q8A7D2	PF07670
Q8AAC6	PF03600
Q8AAC6	PF02080
Q8A0T3	PF00270
Q8A0T3	PF00271
Q8A0T3	PF16124
Q8A994	PF11396
Q8A848	PF13181
Q8AA96	PF13472
Q8A0Z2	PF01253
Q8A1G7	PF00535
Q8A0H8	PF00398
Q89YS4	PF07940
Q89YS4	PF16889
Q89ZJ5	PF16115
Q8A883	PF00005
Q8A883	PF08402
Q89YY1	PF00126
Q89YY1	PF03466
Q8ABZ3	PF01051
Q8A9I8	PF18174
Q8A9I8	PF18175
Q8A9I8	PF05036
Q8AAH8	PF00356
Q8AAH8	PF13407
Q8A583	PF06831
Q8A583	PF06827
Q8A808	PF11832
Q8A113	PF07971
Q8A113	PF17678
Q89ZR1	PF13419
Q8A066	PF00295
Q8A066	PF12708
Q8A4U3	PF14771
Q8A327	PF01725
Q8A0Y9	PF02629
Q8A0Y9	PF06971
Q8A324	PF16874
Q8A324	PF16875
Q8A352	PF07715
Q8A352	PF00593
Q8A0V2	PF01618
Q8A3Q6	PF04616
Q8A5S0	PF06969
Q8A5S0	PF04055
Q8A2L7	PF04087
Q8AB66	PF13476
Q8A1N4	PF16149
Q8A1F8	PF00245
Q8ABF3	PF14059
Q8A9I9	PF00498
Q8A6J5	PF03060
Q8A9A0	PF00471
Q89ZJ1	PF00156
Q8A018	PF01715
Q8A651	PF00005
Q8A651	PF12848
Q89ZP2	PF13491
Q89ZP2	PF17854
Q89ZP2	PF09397
Q89ZP2	PF01580
Q8A0Q5	PF04397
Q8A0Q5	PF00072
Q8A860	PF00877
Q8A860	PF18348
Q8A1N2	PF00005
Q8A7J0	PF10988
Q8A638	PF00186
Q8A254	PF01225
Q8A254	PF02875
Q8A254	PF08245
Q8A2X6	PF02929
Q8A2X6	PF16353
Q8A2X6	PF00703
Q8A2X6	PF02836
Q8A2X6	PF02837
Q8A2M0	PF17864
Q8A2M0	PF05491
Q8A2M0	PF05496
Q8AAB5	PF03009
Q8A5Q2	PF00275
Q8A0M4	PF13411
Q8A0U1	PF05036
Q8AA69	PF02357
Q8A7D0	PF13237
Q8A791	PF01636
Q8A791	PF03668
Q8AA62	PF04230
E7MCA7	PF01165
Q8ABH2	PF12833
Q8ABH2	PF07494
Q8ABH2	PF07495
Q8A644	PF01189
Q8A644	PF17125
Q8A644	PF13636
Q8A2D0	PF00155
Q8A8A9	PF13508
Q8A652	PF00072
Q8A5X7	PF16323
Q8A5X7	PF16391
Q8A5X7	PF17166
Q8A9E0	PF00795
Q8A6Z8	PF04773
Q8A6Z5	PF04321
Q8A0E8	PF07971
Q8A0E8	PF17678
Q8A527	PF03739
Q8A3D1	PF01663
Q8A1H6	PF04616
Q8A488	PF00281
Q8A488	PF00673
Q8AAP4	PF01327
Q8A7G1	PF01966
Q8A5V9	PF13419
Q8A8G4	PF02350
Q8AAH3	PF01618
Q8A626	PF02224
Q8A0H5	PF09820
Q8A0H5	PF08011
Q89Z60	PF08463
Q89Z60	PF04313
Q89Z60	PF04851
Q8A919	PF13185
Q8A919	PF02518
Q8A919	PF00512
Q8A919	PF08447
Q8A919	PF13426
Q8A2L1	PF14509
Q8A2L1	PF14508
Q8A2L1	PF10566
Q8A8E8	PF04261
Q8A0T6	PF00155
Q8A7J5	PF02954
Q8A7J5	PF00072
Q8A7J5	PF00158
Q8AAD2	PF00291
Q8A7F8	PF06508
Q8A1V6	PF03462
Q8A1V6	PF00472
Q8A478	PF00276
Q89ZW4	PF02811
Q8A6L0	PF14509
Q8A6L0	PF14508
Q8A6L0	PF10566
Q8AAD8	PF00290
Q8A131	PF00076
Q8A9K4	PF00588
Q8A2T1	PF03641
Q89ZR0	PF01963
Q8A822	PF00534
Q8A9I4	PF00270
Q8A9I4	PF00271
Q8A475	PF00338
Q8A8T3	PF16270
Q8ABY2	PF13595
Q8A251	PF01795
Q8A2G5	PF02929
Q8A2G5	PF16353
Q8A2G5	PF00703
Q8A2G5	PF02836
Q8A2G5	PF02837
Q8A339	PF01926
Q8A339	PF06071
Q8A9A9	PF07584
Q8A9A9	PF00092
Q8A1M4	PF09820
Q8A1M4	PF08011
Q8AAY3	PF01558
Q8A7P5	PF00005
Q8A7P5	PF16326
Q8A7P5	PF12848
Q89ZD2	PF09820
Q89ZD2	PF08011
Q8A242	PF01551
Q8A0X3	PF05569
Q8A0X3	PF03544
Q89ZJ8	PF07690
Q8A7C3	PF00448
Q8A7C3	PF02881
Q8A7C3	PF02978
Q8A4R9	PF02690
Q8A4R9	PF01895
Q8A029	PF04055
Q8A386	PF00085
Q8A8U8	PF02195
Q8A484	PF00831
Q89Z74	PF01575
Q89ZP1	PF16584
Q8A996	PF04357
Q8A7X4	PF01738
Q8A9W8	PF13419
Q8A8Q2	PF00248
Q89ZW8	PF00885
Q8AAT5	PF00984
Q8AAT5	PF03721
Q8A8L9	PF00881
Q8A3V4	PF02518
Q89YZ3	PF01479
Q8A0P7	PF12833
Q8A1S3	PF01408
Q8A4J3	PF17761
Q8A4J3	PF06250
Q8A7M1	PF13102
Q8A7M1	PF00589
Q8A2A3	PF02576
Q8A2A3	PF17384
Q8A487	PF00467
Q8A487	PF17136
Q8A006	PF08501
Q8A807	PF12706
Q8A6N3	PF01475
Q8A1E0	PF01255
Q89YZ1	PF01386
Q89YZ1	PF14693
Q89ZC4	PF01242
Q8A298	PF00005
Q8A496	PF00344
Q8A0Q0	PF00255
Q8A1A4	PF01316
Q8A1A4	PF02863
Q89YY5	PF18347
Q8A303	PF04326
Q8A303	PF13749
Q8A9I0	PF01702
Q89YP3	PF00924
Q8A684	PF08436
Q8A684	PF02670
Q8A684	PF13288
Q8A5Z7	PF01131
Q8A5Z7	PF01751
Q8A1B0	PF07883
Q8A1B0	PF12844
Q8A2B8	PF11959
Q8A2B8	PF01522
Q8A685	PF17820
Q8A685	PF02163
Q8A2D1	PF02786
Q8A221	PF00884
Q8A4P9	PF04389
Q8A135	PF14714
Q8A135	PF01926
Q8A733	PF01197
Q8A5S9	PF01408
Q8A544	PF03352
Q8A6V8	PF00703
Q8A6V8	PF02836
Q8A6V8	PF02837
Q89YL6	PF00210
Q89YS5	PF16347
Q89YS5	PF00884
Q8A8C5	PF00005
Q8A8C5	PF12848
Q8AAZ9	PF00258
Q8A1Y0	PF06824
Q8A639	PF00303
Q8ABK4	PF01872
Q8A3J5	PF04616
Q8A276	PF01649
Q8A7E5	PF14730
Q89YQ6	PF14099
Q8A7M8	PF00571
Q8A7M8	PF03471
Q8A7M8	PF01595
Q8A036	PF17851
Q8A036	PF04616
Q8A2N8	PF00156
Q8A838	PF01042
Q8A4A0	PF00411
Q8AB03	PF07992
Q8AB03	PF02852
Q8AAH0	PF02514
Q8A377	PF12900
Q8A2B2	PF01202
Q89Z20	PF07676
Q8A7A6	PF07715
Q8A7A6	PF07660
Q8A7A6	PF00593
Q89YY8	PF02699
Q8ABH8	PF14509
Q8ABH8	PF14508
Q8ABH8	PF10566
Q8A2G2	PF03061
Q8A418	PF00312
Q8A3F1	PF13676
Q8A453	PF01451
Q8A7P4	PF12712
Q8A7P4	PF12713
Q8A464	PF00467
Q8A464	PF02357
Q8A3U4	PF02518
Q8A3U4	PF00512
Q8A3U4	PF12833
Q8A3U4	PF07494
Q8A3U4	PF00072
Q8A3U4	PF07495
Q8A5T7	PF00535
Q8AB62	PF02965
Q8A129	PF00574
Q8A1L7	PF01225
Q8A1L7	PF02875
Q8A1L7	PF08245
Q8A0F8	PF12838
Q89ZF2	PF01791
Q8A7B5	PF12169
Q8A8L1	PF02508
Q8ABD0	PF02310
Q8ABD0	PF02607
Q8ABD0	PF00809
Q8ABD0	PF02574
Q8A6Z4	PF16271
Q8A5N1	PF02367
Q8AAY5	PF00497
Q8A6R6	PF13185
Q8AAT1	PF02350
Q8A9A8	PF07584
Q8A9A8	PF00092
Q8A9X1	PF00005
Q8A399	PF13085
Q8A399	PF12838
Q8A743	PF14322
Q8A743	PF07980
Q8A631	PF01618
Q8A7G4	PF01729
Q8A7G4	PF02749
Q8A2K2	PF03880
Q8A2K2	PF00270
Q8A2K2	PF00271
Q8A667	PF02503
Q8A667	PF13090
Q8A667	PF17941
Q8A667	PF13089
Q8A8B0	PF01661
Q8A489	PF00253
Q8A1M5	PF01118
Q8A1M5	PF02774
Q8A8G7	PF14059
Q8A123	PF00639
Q8A443	PF01923
Q8A542	PF01676
Q8A542	PF10143
Q8A495	PF00828
Q8AA88	PF01476
Q8A8T1	PF03169
Q8ABC6	PF00485
Q8A7Z2	PF01965
Q8A9P4	PF00128
Q8A9P4	PF02806
Q8A9P4	PF02922
Q8A5I9	PF03193
Q8A5I9	PF16745
Q89ZM7	PF03819
Q8A4W9	PF06537
Q8A0M0	PF17762
Q8A0M0	PF02195
Q8A8K9	PF04205
Q8A134	PF00005
Q8A8B1	PF09862
Q8A5J0	PF01765
Q8A094	PF01182
Q8A096	PF04055
Q8A096	PF16199
Q8A8W0	PF12705
G8JZS9	PF00027
G8JZS9	PF13545
Q89YJ8	PF01381
Q89YZ0	PF11680
Q8ABH7	PF01380
Q89YJ4	PF04055
Q8A035	PF16153
Q8A3J6	PF17829
Q8A3J6	PF15979
Q8A7U6	PF03992
Q8A4D1	PF01618
Q8A9C0	PF00701
Q8A747	PF10728
Q8A747	PF03807
Q8A864	PF13645
Q8A494	PF00327
Q89ZI7	PF03483
Q8A9B2	PF08239
Q8A9B2	PF00515
Q8A128	PF07724
Q8A128	PF10431
Q8A128	PF06689
Q8A255	PF00953
Q8A2K0	PF00294
Q89Z26	PF01926
Q89Z26	PF12631
Q89Z26	PF10396
Q8A8Y5	PF07971
Q8A8Y5	PF17678
Q89Z69	PF02810
Q89ZY2	PF11644
Q8A9N1	PF00076
Q8A274	PF09820
Q8A274	PF08011
Q8A107	PF00579
Q8A477	PF00573
Q8A5Y8	PF01497
Q89Z39	PF12161
Q89Z39	PF02384
Q8A2Y6	PF16338
Q8A2Y6	PF17137
Q8A2Y6	PF00754
Q8A2Y6	PF01055
Q89ZQ6	PF00675
Q89ZQ6	PF05193
Q8A5I6	PF02321
Q8AAT3	PF08485
Q8AAT3	PF02719
Q8A455	PF00749
Q8A5N9	PF07971
Q8A5N9	PF17678
Q8A801	PF00210
Q8AA78	PF07676
Q8AA78	PF00326
Q8A020	PF05569
Q8A020	PF07715
Q8A8C7	PF13306
Q8A3C4	PF00149
Q8A3C4	PF16371
Q8A3C4	PF13360
Q8A3C4	PF13570
Q8AAP1	PF00707
Q8AAP1	PF05198
Q8AA34	PF09719
Q8AA86	PF04073
Q8A749	PF02545
Q8ABW7	PF13614
Q8AAD9	PF00710
Q8AAD9	PF17763
Q8A2I5	PF05173
Q8A2I5	PF01113
Q89ZJ9	PF03840
Q89ZN2	PF00575
Q8A829	PF14305
Q89YQ5	PF11396
Q8AA66	PF00984
Q8AA66	PF03721
Q89Z38	PF13310
