"","THP1_0H","THP1_0H_2","THP1_0H_3","THP1_16H","THP1_16H_2","THP1_16H_3"
"PRH2",5,7,11,1,3,8
"TAS2R14",5,3,13,6,3,3
"TAS2R50",0,0,3,0,0,1
"TAS2R20",30,18,35,14,22,12
"TAS2R19",8,2,4,4,1,1
"TAS2R31",2,2,5,3,2,4
"TAS2R46",2,0,2,0,4,0
"TAS2R43",3,1,6,0,0,0
"TAS2R30",2,1,0,1,0,2
"LOC100129361",414,409,397,258,261,261
"TAS2R42",2,2,0,0,1,0
"PRB3",0,4,1,0,0,2
"PRB4",1,0,2,3,2,0
"PRB1",2,1,0,1,2,0
"PRB2",0,0,1,2,1,2
"LOC338817",71,51,92,58,54,65
"ETV6",1716,1715,2096,3149,3279,3320
"BCL2L14",0,0,0,35,49,53
"LOC100506248",237,256,229,110,135,105
"LRP6",387,338,364,147,156,162
"MANSC1",148,138,144,7,10,12
"LOH12CR2",9,6,5,0,1,3
"LOH12CR1",82,58,89,26,28,30
"DUSP16",153,152,167,628,710,672
"CREBL2",449,449,501,549,650,595
"GPR19",21,20,24,13,12,6
"CDKN1B",936,930,858,610,667,652
"APOLD1",183,204,182,117,86,111
"MIR613",3,0,0,0,1,0
"DDX47",976,925,877,814,929,837
"RPL13AP20",1060,1072,1328,345,343,446
"GPRC5A",0,0,1,9,10,12
"MIR614",0,0,0,0,0,0
"GPRC5D",0,2,0,0,0,0
"HEBP1",335,346,364,204,180,207
"LOC100506314",4,1,4,1,2,2
"HTR7P1",132,137,164,97,109,98
"KIAA1467",161,187,156,181,222,196
"GSG1",0,2,1,0,0,0
"EMP1",0,3,0,201,225,213
"C12orf36",0,0,0,0,0,0
"GRIN2B",0,0,0,0,0,0
"ATF7IP",2288,1605,2484,1092,1296,1273
"PLBD1",425,426,334,141,138,137
"GUCY2C",4,7,6,2,3,2
"HIST4H4",4,1,1,1,1,5
"H2AFJ",527,473,535,212,214,236
"WBP11",2317,2376,2097,1836,2134,2183
"C12orf60",8,8,9,7,5,9
"C12orf69",1,1,0,1,2,0
"ART4",0,0,0,0,0,0
"MGP",1,2,2,1,3,2
"ERP27",59,62,74,37,38,51
"ARHGDIB",18858,18932,18562,7374,8675,8314
"PDE6H",3,3,10,5,3,4
"RERG",0,0,0,1,3,2
"PTPRO",609,591,618,554,657,654
"EPS8",264,219,281,436,508,469
"STRAP",1247,1154,1078,811,843,906
"LOC100653013",0,0,0,0,0,0
"DERA",386,362,414,237,253,216
"SLC15A5",0,0,1,1,1,0
"MGST1",1426,1286,1702,945,1044,1023
"LMO3",0,2,3,1,1,3
"LOC728622",4,2,5,4,3,1
"MIR3974",0,0,0,0,0,0
"RERGL",0,0,0,1,5,0
"PIK3C2G",0,0,0,0,0,0
"PLCZ1",0,0,0,0,0,0
"CAPZA3",0,0,0,0,0,0
"PLEKHA5",103,70,99,116,146,130
"AEBP2",522,462,516,740,866,861
"LOC100506393",0,1,0,5,5,5
"PDE3A",3,5,4,448,511,504
"SLCO1C1",0,0,0,10,2,13
"SLCO1B3",0,0,0,0,0,3
"SLCO1B7",0,0,0,0,0,0
"SLCO1B1",0,0,0,0,0,1
"SLCO1A2",0,0,0,0,3,0
"IAPP",0,0,0,0,0,0
"PYROXD1",496,357,559,352,416,384
"RECQL",1078,780,1098,1263,1365,1366
"GOLT1B",1075,877,1058,1120,1226,1351
"C12orf39",0,0,2,1,0,1
"GYS2",8,2,3,12,13,12
"LDHB",16104,16201,18362,5779,6661,6064
"KCNJ8",1,1,1,0,0,0
"ABCC9",1,1,1,3,7,1
"CMAS",2014,1901,2091,1476,1596,1511
"ST8SIA1",1,2,0,0,2,2
"KIAA0528",2397,1751,2352,1539,1733,1727
"ETNK1",3041,2161,3389,3853,4033,4298
"SOX5",309,258,427,564,661,584
"MIR920",1,0,0,0,1,0
"LINC00477",328,302,333,301,350,353
"BCAT1",2705,2132,3699,1205,1449,1369
"C12orf77",0,0,0,0,0,0
"LOC645177",10,3,12,9,5,7
"LRMP",2122,1790,2271,152,192,169
"CASC1",9,2,7,1,4,6
"LYRM5",481,423,544,228,233,241
"KRAS",2539,1881,2474,1893,2043,2111
"IFLTD1",0,0,0,0,0,0
"MIR4302",0,0,0,0,0,0
"LOC100506451",23,10,19,69,72,71
"RASSF8",150,85,141,395,446,408
"BHLHE41",3,1,1,118,110,153
"SSPN",48,31,44,51,51,60
"ITPR2",986,660,1220,2041,2345,2332
"C12orf11",1679,1497,1660,918,1078,1040
"FGFR1OP2",1841,1354,2250,1991,2239,2249
"TM7SF3",4483,4766,4411,1149,1261,1136
"MED21",593,540,587,506,527,540
"C12orf71",4,5,9,4,4,2
"STK38L",684,521,717,2240,2668,2596
"ARNTL2",316,275,305,819,861,871
"C12orf70",4,2,0,19,25,16
"PPFIBP1",1568,1458,1557,1430,1588,1608
"LOC100506578",0,1,0,3,2,0
"REP15",9,8,10,10,10,10
"MRPS35",2237,2278,2169,970,1073,976
"MANSC4",10,20,16,4,6,6
"KLHDC5",3217,3069,3271,1373,1547,1483
"PTHLH",0,0,1,4,2,4
"CCDC91",673,481,660,461,463,459
"FAR2",1354,1290,1598,278,293,290
"LOC100506606",104,67,132,73,73,72
"ERGIC2",1916,1480,2007,1552,1912,1820
"OVCH1",14,5,16,96,105,114
"TMTC1",1460,1428,1506,5967,6869,6589
"IPO8",3333,2843,3094,1900,2139,2090
"CAPRIN2",539,430,482,190,188,182
"LOC100287314",10,7,6,3,5,3
"TSPAN11",22,15,27,2,2,7
"LOC100506660",51,51,68,33,44,40
"DDX11",4342,4467,3969,2592,2797,2839
"OVOS2",25,22,30,23,43,28
"FAM60A",3848,3869,3849,3253,3641,3410
"FLJ13224",19,20,11,37,20,34
"DENND5B",277,260,299,157,156,203
"METTL20",62,51,71,27,47,21
"AMN1",132,153,167,277,299,299
"H3F3C",112,114,99,153,154,166
"C12orf35",3710,2236,4687,11304,13803,13617
"BICD1",276,270,280,178,226,207
"FGD4",174,108,345,285,334,292
"DNM1L",4816,3503,5180,3290,3836,3798
"YARS2",785,836,909,506,570,493
"PKP2",186,157,163,27,26,30
"SYT10",1,0,2,20,18,24
"ALG10",365,299,427,298,374,323
"LOC100130830",3,3,5,0,0,0
"ALG10B",590,414,691,314,317,364
"CPNE8",2317,1731,2287,1627,1799,1935
"KIF21A",435,274,434,374,430,436
"ABCD2",84,47,90,203,218,217
"C12orf40",0,0,0,9,11,17
"SLC2A13",598,418,648,3237,3581,3693
"LRRK2",329,252,341,259,327,307
"LOC100652946",0,0,0,0,0,0
"MUC19",196,155,228,9,6,10
"LOC100506072",665,543,891,47,29,38
"CNTN1",109,93,119,7,1,2
"PDZRN4",0,0,0,31,29,40
"LOC100506577",0,0,0,1,0,0
"GXYLT1",866,582,970,490,647,602
"YAF2",304,268,311,278,286,287
"ZCRB1",1219,1146,1341,644,686,698
"PPHLN1",2580,2299,2395,1716,2011,1798
"PRICKLE1",1785,1831,2056,1137,1202,1283
"LOC100506684",2,0,0,0,0,0
"ADAMTS20",1,0,0,2,8,7
"PUS7L",591,414,636,340,416,423
"IRAK4",1463,1306,1525,1685,1873,1789
"TWF1",732,557,833,1382,1568,1454
"TMEM117",159,145,140,110,131,112
"NELL2",148,146,133,33,53,38
"LOC100653018",0,0,0,0,0,0
"DBX2",3,4,4,1,1,3
"RACGAP1P",1,1,1,3,2,1
"PLEKHA8P1",805,798,825,429,547,518
"RNY5",75,46,74,31,43,39
"ANO6",14921,13393,17222,10308,11805,11886
"LOC400027",927,875,1051,592,627,634
"ARID2",5966,4504,5760,3307,3703,3999
"SCAF11",13348,7675,15812,12005,14092,14195
"SLC38A1",12050,9752,14454,5238,5784,5856
"LOC100652745",0,0,0,0,0,0
"SLC38A2",7809,6168,10035,7911,9043,9132
"LOC100288798",184,146,176,24,39,41
"SLC38A4",4,2,14,2,2,2
"AMIGO2",238,213,228,277,271,301
"MIR4698",0,0,0,0,0,0
"LOC100233209",192,149,165,62,85,97
"FAM113B",133,115,126,79,66,83
"MIR4494",0,0,0,0,0,0
"RPAP3",3360,2647,3806,2733,3244,3089
"ENDOU",11,9,14,7,21,15
"RAPGEF3",90,90,112,151,143,159
"SLC48A1",384,435,454,414,468,435
"HDAC7",772,955,954,395,407,400
"VDR",975,1064,877,930,927,961
"TMEM106C",1725,1892,1619,1047,1204,1008
"COL2A1",8,6,1,5,1,4
"SENP1",612,556,576,744,762,765
"PFKM",168,165,178,89,127,125
"ASB8",518,481,493,290,368,294
"C12orf68",2,2,3,2,1,2
"OR10AD1",7,5,22,7,6,0
"H1FNT",4,1,11,0,0,0
"ZNF641",472,440,443,324,371,368
"LOC100505923",1,0,3,0,0,0
"ANP32D",1,1,2,0,0,0
"C12orf54",3,1,15,4,1,1
"OR8S1",5,0,2,1,2,0
"LALBA",0,0,0,0,0,0
"C12orf41",702,727,732,356,388,349
"SNORA34",4,1,1,0,1,1
"SNORA2A",1,0,0,1,1,0
"SNORA2B",1,2,0,0,0,0
"LOC144438",878,815,824,704,817,812
"CCNT1",679,727,733,583,732,724
"LOC255411",0,0,0,0,0,0
"ADCY6",479,392,638,345,353,367
"MIR4701",1,0,2,0,0,2
"LOC100506125",0,0,0,0,0,0
"CACNB3",170,129,203,27,25,26
"DDX23",4065,4133,3210,2549,2905,2734
"RND1",8,14,6,20,23,18
"CCDC65",44,45,44,41,52,39
"FKBP11",222,223,278,137,153,143
"LOC100652959",10,4,3,1,3,1
"ARF3",5738,5937,5536,3509,3964,3790
"WNT10B",20,20,17,11,10,12
"WNT1",0,1,0,6,7,7
"DDN",4,8,7,5,0,2
"LOC100652964",10,7,4,1,0,4
"PRKAG1",500,546,495,337,409,368
"MLL2",9106,9386,9608,6571,7220,7539
"RHEBL1",7,17,16,282,284,277
"DHH",0,0,0,0,2,6
"LMBR1L",264,265,282,575,576,578
"LOC100288366",6,0,1,1,1,2
"TUBA1B",8544,9413,7942,4463,5101,4568
"LOC100289104",2,0,0,0,1,0
"TUBA1A",934,989,1086,565,595,521
"LOC100293962",16,11,13,5,6,6
"TUBA1C",21446,22403,18195,13652,15218,15244
"PRPH",11,7,3,1,0,1
"TROAP",1644,1553,1186,701,717,720
"C1QL4",52,46,61,0,2,0
"DNAJC22",81,67,61,13,16,8
"SPATS2",278,265,272,576,633,649
"LOC100335030",3,1,4,7,9,5
"KCNH3",7,9,8,6,9,8
"MCRS1",1162,1274,1042,687,709,740
"FAM186B",37,30,35,19,19,23
"PRPF40B",103,92,181,77,53,65
"FMNL3",433,482,463,1698,1918,1885
"TMBIM6",11106,11907,11621,9191,10010,9163
"NCKAP5L",571,584,674,184,227,223
"LOC100286844",13,25,16,3,8,5
"BCDIN3D",53,54,58,39,47,34
"FAIM2",1,0,0,0,0,0
"LOC283332",0,0,0,0,0,0
"AQP2",0,0,0,0,0,0
"AQP5",0,0,1,0,0,0
"AQP6",0,0,0,0,0,0
"RACGAP1",1953,1893,1332,930,1159,1095
"ACCN2",639,700,1184,39,40,37
"SMARCD1",1201,1257,1116,1241,1347,1269
"GPD1",8,13,6,1,1,4
"C12orf62",207,226,222,130,124,114
"CERS5",608,526,578,405,459,430
"LIMA1",1401,1285,1220,1340,1486,1502
"MIR1293",0,0,0,0,0,0
"FAM186A",4,2,10,0,1,3
"LARP4",1248,918,1268,1035,1278,1247
"DIP2B",1250,1297,1232,2833,3480,3160
"ATF1",350,278,371,258,217,256
"TMPRSS12",0,0,0,0,0,0
"METTL7A",272,253,245,49,39,57
"HIGD1C",2,1,2,9,10,5
"SLC11A2",745,821,890,1748,1950,1933
"LETMD1",1580,1525,1811,958,1013,1074
"CSRNP2",604,636,715,858,919,884
"TFCP2",3376,3207,3174,2012,2301,2366
"POU6F1",45,57,78,77,113,108
"DAZAP2",14606,14541,14374,11193,12815,12469
"SMAGP",19,28,36,29,29,38
"BIN2",3155,3153,3587,1814,2078,1964
"CELA1",0,5,1,1,0,0
"GALNT6",716,728,690,735,868,830
"SLC4A8",93,85,97,67,109,86
"SCN8A",30,14,26,18,13,11
"FLJ33996",10,6,9,3,5,10
"FIGNL2",20,37,25,10,14,19
"LOC728503",0,1,5,2,2,1
"ANKRD33",0,0,0,0,0,0
"ACVRL1",551,533,597,1165,1274,1249
"ACVR1B",610,678,747,563,672,623
"GRASP",8,10,20,24,36,25
"NR4A1",62,53,65,973,1028,1142
"C12orf44",479,476,502,451,426,420
"KRT80",1,1,0,8,7,3
"LOC283403",0,1,1,0,0,0
"LOC283404",0,1,2,0,0,0
"KRT7",3,7,2,13,18,14
"KRT81",0,0,0,0,0,0
"KRT86",0,0,0,2,2,1
"KRT83",0,1,0,0,0,0
"KRT85",0,0,0,0,0,0
"KRT84",0,0,0,0,0,0
"KRT82",0,0,0,0,0,0
"KRT75",0,0,0,0,0,0
"KRT6B",0,0,0,0,0,0
"KRT6C",0,0,0,0,0,0
"KRT6A",0,0,0,0,1,0
"KRT5",0,0,0,0,1,0
"KRT71",0,0,0,0,0,0
"KRT74",0,0,0,0,0,0
"KRT72",0,0,0,0,0,0
"KRT73",0,0,0,0,0,0
"KRT2",0,0,0,0,0,0
"KRT1",0,0,0,0,0,0
"KRT77",0,0,0,0,0,0
"ARL2BPP2",0,0,0,0,0,0
"KRT76",0,0,0,0,0,0
"KRT3",0,0,0,0,0,0
"KRT4",0,0,0,0,0,0
"KRT79",0,0,0,0,0,0
"KRT78",0,0,1,0,0,1
"KRT8",32,43,34,21,25,34
"KRT18",5,6,3,0,1,4
"EIF4B",19423,20306,22434,4348,4955,4684
"LOC283335",54,62,55,12,11,10
"TENC1",151,137,134,58,45,43
"SPRYD3",1015,1093,952,643,726,643
"IGFBP6",4,2,9,166,158,166
"SOAT2",0,0,0,0,0,0
"CSAD",449,459,591,258,290,300
"ZNF740",2123,2079,1962,1350,1496,1503
"ITGB7",1296,1237,1485,2064,2303,2259
"RARG",77,74,97,73,59,74
"MFSD5",844,851,861,583,609,586
"ESPL1",2538,2624,1865,1499,1583,1551
"PFDN5",4133,4438,5041,4233,4805,4128
"C12orf10",550,551,543,400,359,351
"AAAS",1560,1673,1432,759,756,726
"SP7",0,2,0,0,0,0
"SP1",7117,7269,6914,6980,8015,7967
"AMHR2",0,2,0,2,2,1
"PRR13",9665,9413,8378,5868,6564,6676
"PCBP2",13055,13514,12897,10114,10762,10964
"MAP3K12",172,190,336,171,173,182
"TARBP2",752,798,804,337,339,343
"NPFF",96,81,91,46,64,64
"ATF7",2402,2333,2190,1840,2105,2088
"LOC100652999",2,8,6,0,4,3
"ATP5G2",7335,8077,8588,2986,3095,2816
"CALCOCO1",1168,1242,1435,1428,1446,1454
"HOXC13",0,0,1,0,0,0
"HOXC12",0,0,0,0,0,0
"HOTAIR",1,1,0,0,0,1
"HOXC11",1,0,0,0,0,0
"HOXC10",17,21,17,6,5,1
"MIR196A2",0,0,0,0,0,0
"HOXC9",0,2,3,0,0,1
"HOXC8",0,0,0,0,0,0
"HOXC5",0,0,1,0,0,0
"HOXC6",2,3,5,1,2,3
"HOXC4",8,1,4,1,0,0
"MIR615",0,0,0,0,0,0
"FLJ12825",0,1,2,0,1,2
"LOC100240735",0,0,0,0,0,0
"LOC100240734",0,0,0,0,0,0
"LOC400043",5,1,1,1,1,1
"SMUG1",553,531,499,398,439,346
"CBX5",17764,17032,16579,9669,10445,10428
"MIR3198-2",0,0,0,0,0,0
"HNRNPA1",58394,57172,54606,15207,17093,16122
"NFE2",1647,1650,2237,61,68,63
"COPZ1",4074,4205,3882,2090,2381,2183
"MIR148B",0,0,0,1,1,2
"GPR84",68,70,74,644,678,712
"ZNF385A",5550,5442,5174,4177,4359,4734
"ITGA5",12203,12971,13272,16536,17410,16986
"GTSF1",3259,3532,3318,1076,1193,1082
"NCKAP1L",16127,16712,15588,12300,13636,13171
"PDE1B",985,994,902,1760,1997,1892
"PPP1R1A",4,4,7,3,4,2
"GLYCAM1",0,0,0,0,0,0
"LACRT",0,0,0,0,0,0
"DCD",0,0,0,0,0,0
"MUCL1",0,0,0,1,0,1
"KIAA0748",116,101,102,78,75,71
"NEUROD4",0,0,0,0,2,1
"OR9K2",0,0,0,0,0,0
"OR10A7",0,0,0,0,0,0
"OR6C74",1,0,0,0,0,0
"OR6C6",0,0,0,0,0,0
"OR6C1",0,0,0,0,0,0
"OR6C3",0,0,0,0,0,0
"OR6C75",0,0,0,0,0,0
"OR6C65",0,0,0,0,0,0
"OR6C76",0,0,0,0,0,0
"OR6C2",1,1,0,0,0,0
"OR6C70",1,0,0,0,0,0
"OR6C68",0,0,0,0,0,0
"OR6C4",0,0,0,0,0,0
"OR10P1",1,0,0,0,0,0
"METTL7B",2594,2705,2865,653,816,764
"ITGA7",1598,1639,1932,543,548,492
"BLOC1S1-RDH5",2,2,2,2,5,0
"BLOC1S1",303,326,289,134,147,152
"RDH5",47,48,52,48,41,34
"CD63",9732,10626,10828,8904,9757,8836
"GDF11",710,789,723,195,273,211
"SARNP",1523,1483,1464,1162,1327,1209
"ORMDL2",467,514,433,357,415,310
"DNAJC14",2257,2287,2246,1606,1790,1752
"LOC440104",566,605,803,162,186,186
"MMP19",60,65,88,315,267,338
"WIBG",1331,1499,1352,811,780,773
"DGKA",556,544,796,625,611,664
"PMEL",24,31,43,29,38,44
"CDK2",1649,1808,1557,1692,1770,1710
"RAB5B",4512,4510,4374,3828,4482,4143
"SUOX",637,653,643,336,416,399
"IKZF4",420,416,335,189,232,218
"RPS26",4664,5178,4524,2506,2708,2805
"ERBB3",6,6,5,3,2,1
"LOC100653008",0,1,2,0,2,0
"PA2G4",9343,9645,8318,4333,4781,4467
"RPL41",12024,12256,13701,5901,6591,5627
"ZC3H10",358,367,397,245,348,292
"ESYT1",9884,10585,9452,2989,3142,3028
"MYL6B",915,1024,1087,562,684,614
"MYL6",24076,26257,25654,16354,17346,14624
"SMARCC2",6279,6647,6318,3594,4145,4286
"RNF41",2454,2597,2708,1365,1536,1466
"OBFC2B",888,954,843,382,415,416
"SLC39A5",6,9,7,6,7,4
"ANKRD52",3754,4070,3791,3142,3409,3469
"COQ10A",174,168,179,47,54,50
"CS",8685,8661,7933,4594,5192,5030
"CNPY2",2528,2609,2702,1215,1251,1202
"PAN2",3130,3049,2894,1283,1457,1578
"IL23A",119,105,149,504,575,617
"STAT2",3088,3382,4063,49338,54117,54269
"APOF",0,0,0,0,0,0
"TIMELESS",4156,4287,3836,3567,3969,3760
"MIP",11,19,13,5,9,3
"SPRYD4",176,216,195,134,151,118
"GLS2",150,162,145,56,98,89
"RBMS2",352,306,394,2007,2206,2138
"BAZ2A",10125,10333,10319,16045,17212,17661
"ATP5B",18473,19737,17849,8766,9400,8200
"SNORD59B",8,14,2,6,4,5
"SNORD59A",10,6,12,1,1,4
"LOC100506732",0,0,0,1,2,2
"PTGES3",7569,7190,6772,4689,5350,4989
"NACA",20571,17758,25615,9024,10217,9873
"PRIM1",1271,1167,1183,642,731,656
"HSD17B6",40,42,49,26,25,22
"SDR9C7",1,1,2,1,1,3
"RDH16",0,1,1,9,4,3
"GPR182",0,0,0,0,0,0
"HBCBP",0,0,0,0,0,0
"ZBTB39",838,876,815,1196,1321,1247
"TAC3",0,3,1,128,133,156
"MYO1A",7,7,8,173,211,228
"TMEM194A",3602,3638,3188,13106,14891,14139
"NAB2",615,631,643,4015,4151,4037
"STAT6",11435,11715,11513,21176,22459,22777
"LRP1",1351,1380,2479,2050,2146,2079
"MIR1228",0,0,0,0,0,0
"NXPH4",33,43,59,10,17,15
"SHMT2",6143,6560,7937,4009,4424,4063
"NDUFA4L2",112,113,159,51,57,56
"STAC3",1625,1642,1621,1839,1978,1923
"R3HDM2",3568,3595,3688,2088,2392,2537
"INHBC",6,10,4,1,0,0
"INHBE",31,50,78,53,64,71
"GLI1",10,29,35,43,43,32
"ARHGAP9",5120,5166,5779,3465,3520,3606
"MARS",4947,5355,6689,5215,5938,5599
"DDIT3",808,848,1211,1056,1208,1096
"MIR616",8,3,10,8,11,12
"MBD6",5560,5762,6524,4613,4575,5349
"DCTN2",1975,2076,2182,1529,1631,1411
"KIF5A",1,1,0,0,3,0
"PIP4K2C",827,806,777,829,1015,941
"DTX3",145,137,172,44,52,57
"ARHGEF25",385,374,470,124,134,122
"SLC26A10",80,67,69,96,115,133
"B4GALNT1",100,126,127,164,221,221
"OS9",12065,12832,11842,14019,15443,15334
"AGAP2",1311,1394,1209,887,946,858
"LOC100130776",38,35,32,19,13,8
"TSPAN31",786,818,799,722,810,695
"CDK4",4974,5393,5224,2178,2451,2021
"MARCH9",481,504,593,316,326,348
"CYP27B1",92,81,85,172,188,214
"METTL1",587,626,542,403,511,434
"METTL21B",482,547,553,357,368,383
"TSFM",675,710,627,317,395,353
"AVIL",50,63,64,75,97,78
"PP12719",3,5,7,6,16,10
"CTDSP2",7202,7371,7189,4198,4779,4714
"MIR26A2",4,3,0,3,0,1
"LOC100506844",701,664,878,58,63,49
"XRCC6BP1",378,424,397,68,59,64
"LOC100506869",0,0,0,0,0,0
"LRIG3",38,44,34,85,125,110
"SLC16A7",239,144,301,56,63,60
"FAM19A2",13,7,25,5,4,9
"USP15",2217,1492,2337,6831,7891,7394
"MON2",2220,1824,2341,1780,2128,1999
"C12orf61",12,5,11,24,17,24
"MIRLET7I",0,0,1,2,3,4
"PPM1H",525,537,524,37,42,30
"AVPR1A",0,0,0,0,0,0
"DPY19L2",39,47,41,7,2,3
"TMEM5",484,460,359,193,188,176
"SRGAP1",61,69,69,20,17,18
"C12orf66",246,275,250,89,97,96
"C12orf56",0,1,2,1,0,1
"XPOT",6336,6024,7734,2643,2899,2910
"TBK1",997,729,1048,1721,2035,1990
"RASSF3",742,767,765,874,898,875
"GNS",4549,4685,5063,14957,16988,16043
"TBC1D30",69,61,47,85,83,92
"FLJ41278",0,0,1,0,0,1
"WIF1",0,0,0,12,11,16
"LEMD3",1739,1765,1533,1356,1373,1373
"MSRB3",358,427,531,33,47,29
"LOC100507065",0,0,0,0,0,0
"RPSAP52",0,0,0,0,0,0
"HMGA2",1,0,1,1,2,4
"LOC100129940",38,32,66,2,11,5
"LLPH",1367,1244,1322,921,1117,1118
"TMBIM4",2191,1998,2201,902,1001,929
"IRAK3",9097,6980,10864,1632,1832,1831
"HELB",304,262,324,965,1156,1114
"GRIP1",280,269,267,124,125,118
"CAND1",4097,3339,4024,2945,3196,2974
"LOC100507175",1,0,2,0,1,2
"DYRK2",1242,1125,1190,721,788,798
"IFNG",0,0,0,0,0,0
"IL26",0,0,0,0,0,0
"IL22",0,0,0,0,0,0
"MDM1",575,501,547,288,304,313
"LOC100507195",0,0,3,2,3,3
"RAP1B",5481,4976,5356,6834,7916,7740
"SNORA70G",1,0,0,3,11,9
"LOC100507250",34,23,38,8,6,8
"NUP107",2721,2175,2467,1512,1627,1602
"SLC35E3",141,125,141,90,98,101
"MDM2",3022,2651,2850,3934,4386,4183
"CPM",5744,5420,5065,5868,6756,6449
"CPSF6",5319,4640,5633,4808,5484,5378
"MIR1279",0,0,0,0,0,0
"LYZ",17459,16842,16209,9036,10360,10389
"YEATS4",771,693,745,312,340,346
"FRS2",687,554,763,781,832,935
"MIR3913-1",0,0,0,0,0,0
"MIR3913-2",0,0,0,0,0,0
"CCT2",5976,5862,5299,2455,2870,2492
"LRRC10",1,1,0,0,0,0
"BEST3",1,1,1,6,4,5
"RAB3IP",149,94,193,251,209,298
"LOC100652962",1,4,5,19,21,24
"C12orf28",4,2,1,23,13,23
"LOC100507317",47,28,70,39,31,27
"CNOT2",3059,2851,3073,2496,2878,2887
"KCNMB4",9,25,15,3,0,3
"PTPRB",1017,976,1178,556,627,614
"LOC100507330",252,226,264,102,123,108
"PTPRR",3,4,5,3,6,4
"TSPAN8",0,0,0,0,0,0
"LGR5",5,3,4,42,32,49
"ZFC3H1",2677,1548,3093,2976,3254,3227
"THAP2",156,104,196,168,206,199
"TMEM19",412,403,351,274,314,306
"RAB21",1162,1078,1174,1325,1475,1514
"LOC100507345",25,24,20,35,29,28
"TBC1D15",1619,1279,1900,1105,1300,1261
"MRS2P2",1,0,2,0,0,2
"TPH2",0,0,1,0,2,0
"LOC283392",1266,968,1401,373,449,434
"TRHDE",1818,1534,1893,555,692,645
"LOC100507363",40,32,45,16,14,18
"LOC100507377",2,2,0,0,2,0
"ATXN7L3B",4433,4486,4649,3072,3360,3333
"LOC100652893",0,0,0,0,0,0
"KCNC2",0,0,0,0,0,0
"CAPS2",7,2,13,11,12,14
"GLIPR1L1",3,2,4,3,2,1
"GLIPR1L2",1,3,1,1,1,0
"GLIPR1",975,741,861,505,535,545
"KRR1",880,627,932,681,890,910
"PHLDA1",34,31,45,755,834,848
"NAP1L1",16321,13761,17514,8348,9361,8587
"LOC100652897",14,10,9,13,10,5
"BBS10",521,486,651,317,294,334
"OSBPL8",3687,2377,4085,2102,2395,2487
"ZDHHC17",1081,825,1247,1004,1139,1106
"CSRP2",12,6,8,62,89,59
"LOC727803",2,3,2,2,3,1
"E2F7",1075,1058,857,881,1037,993
"LOC100507484",0,0,0,0,0,0
"NAV3",1700,1381,2105,1368,1645,1638
"LOC100507498",0,0,0,0,1,0
"SYT1",0,0,0,0,0,1
"MIR1252",0,0,0,0,0,0
"PAWR",39,33,37,20,20,8
"PPP1R12A",2803,1937,3075,4540,5541,5592
"LOC100507515",8,1,6,9,4,8
"OTOGL",1,0,1,31,22,33
"PTPRQ",0,0,1,15,11,12
"MYF6",0,0,1,0,1,1
"MYF5",0,0,0,0,0,0
"LIN7A",878,727,831,676,719,724
"MIR617",1,0,0,0,1,0
"MIR618",0,0,0,0,0,0
"ACSS3",203,161,255,39,51,33
"MIR4699",0,0,0,0,0,0
"PPFIA2",31,7,18,103,133,122
"CCDC59",898,737,976,570,729,700
"C12orf26",165,140,147,102,99,76
"TMTC2",222,220,322,192,176,214
"SLC6A15",0,0,0,0,0,0
"TSPAN19",0,0,0,0,0,0
"LRRIQ1",5,2,3,2,3,1
"ALX1",334,311,327,238,247,280
"RASSF9",18,20,28,6,9,6
"NTS",0,0,0,0,0,0
"MGAT4C",15,8,8,2,3,2
"LOC100507559",0,0,0,0,0,0
"MKRN9P",0,0,3,3,2,1
"C12orf50",0,0,0,58,56,59
"C12orf29",511,438,558,167,208,173
"CEP290",699,413,831,1124,1338,1315
"TMTC3",323,187,333,363,414,423
"KITLG",290,205,226,1308,1419,1500
"LOC728084",1,1,1,4,7,7
"DUSP6",723,743,937,5525,6095,5879
"POC1B",463,413,510,313,356,296
"POC1B-GALNT4",0,1,2,0,0,0
"GALNT4",13,14,7,13,10,18
"ATP2B1",1168,769,1421,1616,1931,1883
"LOC338758",44,31,36,39,41,59
"LOC100507594",0,0,0,0,3,0
"C12orf37",0,0,0,0,0,0
"C12orf12",0,0,0,0,0,0
"EPYC",0,0,0,24,16,31
"KERA",0,0,0,0,0,0
"LUM",0,0,0,5,4,5
"DCN",0,0,0,29,22,18
"BTG1",1041,943,1060,10892,11733,11690
"CLLU1OS",0,0,0,2,1,3
"CLLU1",0,0,0,1,2,2
"LOC100507616",0,0,3,28,32,34
"C12orf74",0,0,0,0,0,0
"PLEKHG7",0,0,0,2,0,2
"EEA1",1491,790,1696,1150,1207,1242
"LOC643339",0,0,0,0,2,0
"LOC100652914",9926,10545,11992,4707,5100,4389
"NUDT4",3984,3785,4147,1486,1646,1675
"UBE2N",3009,3003,2911,1809,1994,1943
"MRPL42",1296,1100,1350,795,898,861
"LOC144481",4,6,6,2,1,1
"SOCS2",40,63,69,24,17,20
"CRADD",112,119,108,63,55,60
"PLXNC1",966,883,864,2383,2785,2629
"CCDC41",441,277,362,190,193,195
"LOC144486",22,29,46,5,8,10
"TMCC3",45,41,31,759,818,832
"MIR492",0,0,0,0,1,0
"KRT19P2",0,0,0,0,0,0
