Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
Q6ZWE6	PLEKHM3 DAPR PLEKHM1L	389072
Q13425	SNTB2 D16S2531E SNT2B2 SNTL	6645
E7EW31	PROB1 C5orf65	389333
A8MYP8	ODF3B ODF3L3	440836
Q969Z3	MTARC2 MARC2 MOSC2	54996
Q9UQ16	DNM3 KIAA0820	26052
Q96NI8	ZNF570	148268
Q9HBV1	POPDC3 POP3	64208
Q9H819	DNAJC18	202052
Q8TC21	ZNF596	169270
P56179	DLX6	1750
A6NDV4	TMEM8B C9orf127 NGX6	51754
O15492	RGS16 RGSR	6004
P47900	P2RY1	5028
Q8IYQ7	THNSL1	79896
Q8N2R0	OSR2	116039
Q86UZ6	ZBTB46 BTBD4 ZNF340	140685
Q8IYK4	COLGALT2 C1orf17 GLT25D2 KIAA0584	23127
Q5QNW6	H2BC18 HIST2H2BF	440689
Q13516	OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17	10215
Q13424	SNTA1 SNT1	6640
Q8IYL9	GPR65 TDAG8	8477
Q9P2J8	ZNF624 KIAA1349	57547
Q13588	GRAP	10750
Q8NEZ3	WDR19 IFT144 KIAA1638	57728
Q9Y6X4	FAM169A KIAA0888	26049
Q9NZB8	MOCS1 MIG11	4337
P10721	KIT SCFR	3815
Q12837	POU4F2 BRN3B	5458
Q969R8	ITFG2	55846
P0C7X2	ZNF688	146542
Q8IX29	FBXO16 FBX16	157574
P29400	COL4A5	1287
Q9H0C3	TMEM117	84216
Q9UC06	ZNF70	7621
Q6IMN6	CAPRIN2 C1QDC1 EEG1 KIAA1873 RNG140	65981
O75674	TOM1L1 SRCASM	10040
Q86YD5	LDLRAD3 LRAD3	143458
P08069	IGF1R	3480
Q6NVV7	CDPF1 C22orf40	150383
O60551	NMT2	9397
Q9UN79	SOX13	9580
Q96F81	DISP1 DISPA	84976
O75460	ERN1 IRE1	2081
Q6P995	FAM171B KIAA1946 NPD019	165215
Q86WV5	TEN1 C17orf106	100134934
P09917	ALOX5 LOG5	240
Q12829	RAB40B SEC4L	10966
Q9H3Q1	CDC42EP4 BORG4 CEP4	23580
O43561	LAT	27040
A1A4V9	CCDC189 C16orf93	90835
Q93038	TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779	8718
Q8WVV5	BTN2A2 BT2.2 BTF2	10385
Q2M3X9	ZNF674	641339
P60763	RAC3	5881
P00451	F8 F8C	2157
Q8WUY3	PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367	158471
O15165	LDLRAD4 C18orf1	753
Q8WTR2	DUSP19 DUSP17 LMWDSP3 SKRP1	142679
Q9H213	MAGEH1 APR1	28986
Q9NRP7	STK36 KIAA1278	27148
Q6NSJ2	PHLDB3	653583
Q9Y5E1	PCDHB9 PCDH3H	56127
Q86SJ2	AMIGO2 ALI1	347902
P80404	ABAT GABAT	18
Q13207	TBX2	6909
Q24JQ0	TMEM241 C18orf45	85019
O43525	KCNQ3	3786
Q96NN9	AIFM3 AIFL	150209
O60290	ZNF862 KIAA0543	643641
Q9NST1	PNPLA3 ADPN C22orf20	80339
Q9H665	IGFLR1 TMEM149 U2AF1L4	79713
Q96MP8	KCTD7	154881
Q6PCE3	PGM2L1 BM32A	283209
P20592	MX2	4600
P52736	ZNF133 ZNF150	7692
O60682	MSC ABF1 BHLHA22	9242
Q5T0N5	FNBP1L C1orf39 TOCA1	54874
Q9H492	MAP1LC3A	84557
Q3MII6	TBC1D25 OATL1	4943
Q9H477	RBKS RBSK	64080
Q8N9Z0	ZNF610	162963
Q8IZX4	TAF1L	138474
Q02779	MAP3K10 MLK2 MST	4294
P57059	SIK1 SIK SNF1LK	150094
O96015	DNAL4	10126
Q96QA6	YPEL2 FKSG4	388403
O60812	HNRNPCL1 HNRPCL1	343069
Q5TH69	ARFGEF3 BIG3 C6orf92 KIAA1244	57221
Q86UE3	ZNF546 ZNF49	339327
Q8NC06	ACBD4 HMFT0700	79777
Q9C0D7	ZC3H12C KIAA1726 MCPIP3	85463
Q99743	NPAS2 BHLHE9 MOP4 PASD4	4862
Q9UMR5	PPT2	9374
Q86UF1	TSPAN33 PEN	340348
Q8IV50	LYSMD2	256586
Q9NPH0	ACP6 ACPL1 LPAP UNQ205/PRO231	51205
Q5HYW2	NHSL2	340527
Q9P2W6	C11orf21	29125
P47870	GABRB2	2561
Q9H7R0	ZNF442	79973
Q9NRD5	PICK1 PRKCABP	9463
Q13887	KLF5 BTEB2 CKLF IKLF	688
Q9BYN7	ZNF341	84905
Q96LR9	APOLD1 VERGE	81575
Q9H892	TTC12	54970
Q9Y2G4	ANKRD6 KIAA0957	22881
A7XYQ1	SOBP JXC1	55084
Q96BV0	ZNF775	285971
Q16654	PDK4 PDHK4	5166
P54652	HSPA2	3306
Q07283	TCHH THH THL TRHY	7062
Q14592	ZNF460 ZNF272	10794
Q9P0M6	MACROH2A2 H2AFY2	55506
P56202	CTSW	1521
P17483	HOXB4 HOX2F	3214
P20393	NR1D1 EAR1 HREV THRAL	9572
Q8N1E6	FBXL14 FBL14	144699
Q13642	FHL1 SLIM1	2273
Q9BYG4	PARD6G PAR6G	84552
Q96MW7	TIGD1	200765
Q9NVC3	SLC38A7 SNAT7	55238
Q9HAU0	PLEKHA5 KIAA1686 PEPP2	54477
Q9Y6R0	NUMBL	9253
Q8N2N9	ANKRD36B	57730
Q9UC07	ZNF69	7620
Q96CC6	RHBDF1 C16orf8 DIST1 IRHOM1	64285
Q9H095	IQCG DRC9	84223
Q96LT7	C9orf72	203228
Q9H9S3	SEC61A2	55176
Q96GY3	LIN37 MSTP064	55957
Q9H1C0	LPAR5 GPR92 GPR93	57121
Q9Y275	TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738	10673
Q9BYH8	NFKBIZ IKBZ INAP MAIL	64332
P27918	CFP PFC	5199
P0CJ92	GOLGA8H	728498
P29992	GNA11 GA11	2767
Q86V88	MDP1	145553
Q9XRX5	HHLA3	11147
Q96JE7	SEC16B KIAA1928 LZTR2 RGPR SEC16S	89866
Q8IYX4	DND1 RBMS4	373863
Q7Z4Y8	ATP5MGL ATP5K2 ATP5L2	267020
Q9H6P5	TASP1 C20orf13	55617
Q9UBU2	DKK2 UNQ682/PRO1316	27123
Q8IV33	KIAA0825 C5orf36	285600
Q969J2	ZKSCAN4 ZNF307 ZNF427	387032
Q6ICH7	ASPHD2	57168
P27469	G0S2	50486
O15016	TRIM66 C11orf29 KIAA0298	9866
Q01064	PDE1B PDE1B1 PDES1B	5153
Q5TC79	ZBTB37	84614
P58215	LOXL3 LOXL	84695
Q9H9K5	ERVMER34-1 HEMO LP9056	100288413
Q6P9H4	CNKSR3 MAGI1	154043
Q16394	EXT1	2131
O95361	TRIM16 EBBP	10626
P81877	SSBP2 SSDP2	23635
Q96MT7	CFAP44 WDR52	55779
P21506	ZNF10 KOX1	7556
P49842	STK19 G11 RP1	8859
Q8IZC4	RTKN2 PLEKHK1	219790
P35555	FBN1 FBN	2200
O00180	KCNK1 HOHO1 KCNO1 TWIK1	3775
P52564	MAP2K6 MEK6 MKK6 PRKMK6 SKK3	5608
Q04771	ACVR1 ACVRLK2	90
Q5VTH9	WDR78	79819
Q00532	CDKL1	8814
Q96PV0	SYNGAP1 KIAA1938	8831
Q9HBW0	LPAR2 EDG4 LPA2	9170
Q8NCW0	KREMEN2 KRM2	79412
Q9Y2S2	CRYL1 CRY	51084
A6NC05	C5orf63	401207
O95837	GNA14	9630
Q10586	DBP	1628
Q9H6U6	BCAS3	54828
P28360	MSX1 HOX7	4487
Q9BQK8	LPIN3 LIPN3L	64900
Q6BCY4	CYB5R2	51700
Q9HBT8	ZNF286A KIAA1874 ZNF286	57335
P07307	ASGR2 CLEC4H2	433
P56277	CMC4 C6.1B MTCP1 MTCP1NB	100272147
O75899	GABBR2 GPR51 GPRC3B	9568
P78560	CRADD RAIDD	8738
Q9BSE2	TMEM79 MATT	84283
O14529	CUX2 CUTL2 KIAA0293	23316
P21589	NT5E NT5 NTE	4907
Q86TW2	ADCK1	57143
Q9HCM9	TRIM39 RNF23 TFP	56658
Q8IXN7	RIMKLA FAM80A	284716
Q8N9B4	ANKRD42	338699
O95196	CSPG5 CALEB NGC	10675
Q6PF04	ZNF613	79898
Q15434	RBMS2 SCR3	5939
Q6P1S2	C3orf33 MSTP052	285315
Q9H7C9	AAMDC C11orf67 PTD015	28971
Q9H707	ZNF552	79818
P10073	ZSCAN22 HKR2 ZNF50	342945
P50219	MNX1 HLXB9	3110
Q9P2S6	ANKMY1 TSAL1 ZMYND13	51281
Q2NKJ3	CTC1 C17orf68	80169
Q8N945	PRELID2	153768
A6NNP5	CCDC169 C13orf38	728591
Q69YG0	TMEM42	131616
Q9UKG9	CROT COT	54677
Q9P086	MED11 HSPC296	400569
O75093	SLIT1 KIAA0813 MEGF4 SLIL1	6585
P06734	FCER2 CD23A CLEC4J FCE2 IGEBF	2208
Q8NDX9	LY6G5B C6orf19 G5B	58496
E9PKD4	NPIPA5	100288332
Q99674	CGREF1 CGR11	10669
Q9BTP7	FAAP24 C19orf40	91442
Q68EA5	ZNF57 ZNF424	126295
Q9P1Z2	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996	57658
Q15935	ZNF77	58492
Q9UDW3	ZMAT5	55954
Q6ZV50	RFX8	731220
Q8N414	PGBD5	79605
Q86X02	CDR2L HUMPPA	30850
Q96B96	TMEM159 LDAF1	57146
Q19AV6	ZSWIM7 SWS1	125150
Q8N0W3	FCSK FUK	197258
Q8N5Y8	PARP16 ARTD15 C15orf30	54956
Q8IYP9	ZDHHC23	254887
P36021	SLC16A2 MCT8 XPCT	6567
Q16798	ME3	10873
Q9BUT1	BDH2 DHRS6 SDR15C1 UNQ6308/PRO20933	56898
Q8N370	SLC43A2 LAT4 PP7664	124935
Q6ZQX7	LIAT1 C17orf97	400566
P0C6S8	LINGO3 LERN2 LRRN6B	645191
Q9UIK4	DAPK2	23604
Q9Y6S9	RPS6KL1	83694
Q53FA7	TP53I3 PIG3	9540
P48380	RFX3	5991
Q9BSH5	HDHD3 C9orf158	81932
Q7Z4K8	TRIM46 TRIFIC	80128
P59046	NLRP12 NALP12 PYPAF7 RNO	91662
Q86V15	CASZ1 CST SRG ZNF693	54897
Q9P2P1	NYNRIN CGIN1 KIAA1305	57523
P35367	HRH1	3269
Q96LX8	ZNF597	146434
P21673	SAT1 SAT	6303
Q14129	DGCR6	8214
Q7L5Y6	DET1	55070
Q53GA4	PHLDA2 BWR1C HLDA2 IPL TSSC3	7262
Q96BZ8	LENG1	79165
P27487	DPP4 ADCP2 CD26	1803
P46020	PHKA1 PHKA	5255
Q641Q3	METRNL	284207
Q5VVM6	CCDC30 PFDN6L	728621
Q12929	EPS8	2059
Q96FM1	PGAP3 CAB2 PERLD1 UNQ546/PRO1100	93210
Q9NQ88	TIGAR C12orf5	57103
Q53S08	RAB6D WTH3DI	150786
Q9Y2D4	EXOC6B KIAA0919 SEC15B SEC15L2	23233
A8K855	EFCAB7 KIAA1799	84455
Q96EE4	CCDC126 UNQ786/PRO1605	90693
Q9UK11	ZNF223	7766
O95185	UNC5C UNC5H3	8633
O94892	ZNF432 KIAA0798	9668
A6NCE7	MAP1LC3B2	643246
P24385	CCND1 BCL1 PRAD1	595
Q9NZK5	ADA2 ADGF CECR1 IDGFL	51816
Q04759	PRKCQ PRKCT	5588
P50895	BCAM LU MSK19	4059
Q9H9S5	FKRP	79147
P12931	SRC SRC1	6714
Q12774	ARHGEF5 TIM	7984
Q9NPG1	FZD3	7976
Q5K4E3	PRSS36	146547
P10301	RRAS	6237
P49447	CYB561	1534
Q9BX95	SGPP1 SPP1	81537
Q8NB42	ZNF527 KIAA1829	84503
A7MCY6	TBKBP1 KIAA0775 SINTBAD	9755
O43361	ZNF749	388567
Q8N8E2	ZNF513	130557
Q3KRA9	ALKBH6 ABH6	84964
Q2QD12	RPEL1	729020
Q9Y2P7	ZNF256 BMZF3	10172
Q8NHH1	TTLL11 C9orf20	158135
Q96A47	ISL2	64843
Q7Z6J8	UBE3D C6orf157 H10BH UBE2CBP	90025
P27815	PDE4A DPDE2	5141
Q96GL9	FAM163A C1orf76 NDSP	148753
Q9NY64	SLC2A8 GLUT8 GLUTX1	29988
Q5SXM8	DNLZ C9orf151	728489
Q9Y484	WDR45 WDRX1 WDRXI4 WIPI4 JM5	11152
Q9NPP4	NLRC4 CARD12 CLAN CLAN1 IPAF UNQ6189/PRO20215	58484
O94941	UBOX5 KIAA0860 RNF37 UBCE7IP5 UIP5	22888
Q6STE5	SMARCD3 BAF60C	6604
Q9ULM0	PLEKHH1 KIAA1200	57475
Q5VYX0	RNLS C10orf59	55328
Q8N895	ZNF366	167465
Q5XUX1	FBXW9 FBW9	84261
Q3KNW1	SNAI3 ZNF293	333929
Q9NQV8	PRDM8 PFM5	56978
Q8TAD7	OCC1 C12orf75	387882
Q9NQZ8	ZNF71 EZFIT	58491
Q86UD4	ZNF329	79673
Q14574	DSC3 CDHF3 DSC4	1825
Q08ER8	ZNF543	125919
O95258	SLC25A14 BMCP1 UCP5 UNQ791/PRO1682	9016
Q03721	KCNC4 C1orf30	3749
P98174	FGD1 FGDY ZFYVE3	2245
Q5VTQ0	TTC39B C9orf52	158219
Q5SYE7	NHSL1 C6orf63 KIAA1357	57224
Q15561	TEAD4 RTEF1 TCF13L1 TEF3	7004
P52740	ZNF132	7691
Q9P2F8	SIPA1L2 KIAA1389	57568
Q9H607	OCEL1	79629
O00358	FOXE1 FKHL15 FOXE2 TITF2 TTF2	2304
P0DPF3	NBPF9	400818
P22570	FDXR ADXR	2232
Q92759	GTF2H4	2968
O60548	FOXD2 FKHL17 FREAC9	2306
Q96K80	ZC3H10 ZC3HDC10	84872
Q9HA65	TBC1D17	79735
Q9H1C7	CYSTM1 C5orf32 ORF1-FL49	84418
P28161	GSTM2 GST4	2946
Q6PCB7	SLC27A1 ACSVL5 FATP1	376497
Q8WXI2	CNKSR2 CNK2 KIAA0902 KSR2	22866
Q9NVR0	KLHL11	55175
Q17RP2	TIGD6	81789
Q6UWT2	ENHO C9orf165 UNQ470/PRO830	375704
Q8NC96	NECAP1	25977
Q96EF0	MTMR8	55613
Q5SQH8	C6orf136	221545
Q9BSK1	ZNF577	84765
O75298	RTN2 NSPL1	6253
Q92482	AQP3	360
Q14264	ERV3-1 ERV3	2086
Q6NUM6	TYW1B RSAFD2	441250
Q4KMZ1	IQCC	55721
O75365	PTP4A3 PRL3	11156
Q5TEU4	NDUFAF5 C20orf7	79133
Q9Y3B6	EMC9 C14orf122 FAM158A CGI-112	51016
P30039	PBLD MAWBP	64081
P50549	ETV1 ER81	2115
Q9H0J9	PARP12 ZC3HDC1	64761
O43692	PI15 CRISP8 P25TI	51050
P0CK97	SLC35E2A SLC35E2	9906
Q9P2Z0	THAP10	56906
Q6ZT07	TBC1D9 KIAA0882 TBC1D9A	23158
Q5SGD2	PPM1L PP2CE	151742
P06870	KLK1	3816
Q9NS98	SEMA3G	56920
Q96FV2	SCRN2	90507
Q9NSK0	KLC4 KNSL8	89953
Q5VZM2	RRAGB	10325
Q8N5H7	SH2D3C NSP3 UNQ272/PRO309/PRO34088	10044
P25686	DNAJB2 HSJ1 HSPF3	3300
Q6ZUS5	CCDC121	79635
Q674X7	KAZN KAZ KIAA1026 HRIHFB2003	23254
O60931	CTNS	1497
Q96ED9	HOOK2	29911
Q96MS0	ROBO3	64221
Q86XF0	DHFR2 DHFRL1 DHFRP4	200895
B2RXF5	ZBTB42	100128927
A5PL33	KRBA1 KIAA1862	84626
Q96MU6	ZNF778	197320
Q96PP8	GBP5 UNQ2427/PRO4987	115362
O00626	CCL22 MDC SCYA22 A-152E5.1	6367
P20807	CAPN3 CANP3 CANPL3 NCL1	825
Q96CD2	PPCDC COAC MDS018 UNQ9365/PRO34154	60490
Q9BWM5	ZNF416	55659
P30793	GCH1 DYT5 GCH	2643
A8MWY0	ELAPOR2 EIG121L KIAA1324L	222223
Q8TBF8	FAM81A	145773
Q86VD7	SLC25A42	284439
Q96BW9	TAMM41 C3orf31	132001
Q8WXF7	ATL1 GBP3 SPG3A	51062
Q9BYL1	SAMD10 C20orf136	140700
Q6TDP4	KLHL17	339451
Q02153	GUCY1B1 GUC1B3 GUCSB3 GUCY1B3	2983
Q6UXP7	FAM151B UNQ9217/PRO28685	167555
Q5H9K5	ZMAT1 KIAA1789	84460
Q9NXP7	GIN1 TGIN1 ZH2C2	54826
P62745	RHOB ARH6 ARHB	388
Q9BQT9	CLSTN3 CS3 KIAA0726	9746
Q75V66	ANO5 GDD1 TMEM16E	203859
P31995	FCGR2C CD32 FCG2 IGFR2	9103
Q9C0F3	ZNF436 KIAA1710	80818
Q13191	CBLB RNF56 Nbla00127	868
Q9P0L1	ZKSCAN7 ZNF167 ZNF448 ZNF64	55888
Q05923	DUSP2 PAC1	1844
Q86UP8	GTF2IRD2 GTF2IRD2A	84163
Q9H094	NBPF3 L7	84224
P52895	AKR1C2 DDH2	1646
Q92870	APBB2 FE65L FE65L1	323
Q96A25	TMEM106A	113277
Q13635	PTCH1 PTCH	5727
P60022	DEFB1 BD1 HBD1	1672
Q96DX8	RTP4 IFRG28 Z3CXXC4	64108
Q4G0M1	ERFE C1QTNF15 CTRP15 FAM132B	151176
Q5TBK1	N4BP2L1 CG081	90634
Q9NPA1	KCNMB3 KCNMB2 KCNMBL	27094
O43759	SYNGR1	9145
Q9NSE2	CISH G18	1154
Q96QE4	LRRC37B	114659
Q96FA3	PELI1 PRISM	57162
Q9HCM3	KIAA1549	57670
Q96JF6	ZNF594 KIAA1871	84622
Q8WVB3	HEXD HEXDC	284004
Q13049	TRIM32 HT2A	22954
Q6EKJ0	GTF2IRD2B	389524
Q5VV41	ARHGEF16 EPHEXIN4 NBR	27237
O60663	LMX1B	4010
A6NHT5	HMX3 NKX-5.1 NKX5-1	340784
P34969	HTR7	3363
Q05513	PRKCZ PKC2	5590
Q8NBP5	MFSD9 PSEC0066	84804
Q9BT40	INPP5K PPS SKIP	51763
Q96HR9	REEP6 C19orf32 DP1L1	92840
O60309	LRRC37A3 KIAA0563	374819
Q02318	CYP27A1 CYP27	1593
Q2YD98	UVSSA KIAA1530	57654
Q8N2E2	VWDE	221806
P0C875	FAM228B	375190
Q99467	CD180 LY64 RP105	4064
Q96NG5	ZNF558	148156
Q5QJU3	ACER2 ASAH3L PP11646	340485
Q9UKJ0	PILRB FDFACT PP1551	29990
A6NL88	SHISA7	729956
Q8N8Q3	ENDOV	284131
Q9Y573	IPP KLHL27	3652
Q9Y5Q0	FADS3 CYB5RP	3995
Q3KQV3	ZNF792	126375
O00512	BCL9	607
Q86VZ6	JAZF1 TIP27 ZNF802	221895
Q5VSG8	MANEAL	149175
Q9UBK7	RABL2A	11159
Q9UIM3	FKBPL DIR1 NG7	63943
Q9NXL9	MCM9 C6orf61 MCMDC1	254394
Q6UB28	METAP1D MAP1D	254042
Q96B33	CLDN23	137075
P0DMM9	SULT1A3 STM	6818,445329
P0DMN0	SULT1A4	6818,445329
P78563	ADARB1 ADAR2 DRADA2 RED1	104
Q96LT6	C1orf74	148304
Q7RTT9	SLC29A4 ENT4 PMAT PSEC0113	222962
Q9BZ72	PITPNM2 KIAA1457 NIR3	57605
Q5TIA1	MEI1	150365
Q5XUX0	FBXO31 FBX14 FBX31 PP2386	79791
Q6NSI4	RADX CXorf57	55086
Q96F25	ALG14	199857
Q9Y3M2	CBY1 ARB1 C22orf2 CBY PGEA1 HRIHFB2025	25776
O15440	ABCC5 MRP5	10057
Q9H706	GAREM1 C18orf11 FAM59A GAREM	64762
Q96PB8	LRRC3B LRP15 UNQ195/PRO221	116135
P17098	ZNF8	7554
Q8N393	ZNF786	136051
Q9H7S9	ZNF703 ZEPPO1 ZPO1	80139
P12235	SLC25A4 ANT1	291
Q14442	PIGH	5283
Q9UL58	ZNF215 BAZ2 ZKSCAN11	7762
Q14CX5	MFSD13A C10orf77 TMEM180	79847
O00189	AP4M1 MUARP2	9179
Q8IYT4	KATNAL2	83473
O95081	AGFG2 HRBL RABR	3268
Q8IY31	IFT20	90410
P49326	FMO5	2330
O75884	RBBP9 BOG RBBP10	10741
Q5T035	C9orf129	445577
Q684P5	RAP1GAP2 GARNL4 KIAA1039 RAP1GA2	23108
A5A3E0	POTEF A26C1B	728378
Q92681	RSC1A1	6248
Q8WZ19	KCTD13 BACURD1 PDIP1 POLDIP1 FKSG86 PP6832	253980
Q9Y5R2	MMP24 MT5MMP	10893
Q96EQ8	RNF125	54941
Q9Y330	ZBTB12 C6orf46 G10 NG35	221527
P98168	ZXDA	7789
O43166	SIPA1L1 E6TP1 KIAA0440	26037
Q00973	B4GALNT1 GALGT SIAT2	2583
Q8NET6	CHST13	166012
Q14088	RAB33A RABS10	9363
Q8NDH6	ICA1L ALS2CR14 ALS2CR15	130026
Q96MP5	ZSWIM3 C20orf164	140831
Q9H015	SLC22A4 ETT OCTN1 UT2H	6583
P18084	ITGB5	3693
Q9NSY0	NRBP2 PP9320 TRG16	340371
Q9Y4C5	CHST2 GN6ST	9435
P12643	BMP2 BMP2A	650
Q8IYD1	GSPT2 ERF3B	23708
Q6ZNK6	TIFAB	497189
O14618	CCS	9973
Q9P1Y5	CAMSAP3 KIAA1543	57662
O60941	DTNB	1838
Q96NH3	TBC1D32 BROMI C6orf170 C6orf171	221322
Q96K75	ZNF514	84874
Q3KNS6	ZNF829	374899
Q9BX59	TAPBPL	55080
Q8TBP5	FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371	345757
Q9BY71	LRRC3 C21orf102 LRRC3A UNQ9233/PRO31982	81543
Q7Z699	SPRED1	161742
Q2TAC2	CCDC57	284001
Q96C55	ZNF524	147807
Q8NFJ9	BBS1 BBS2L2	582
O14682	ENC1 KLHL37 NRPB PIG10	8507
Q96B70	LENG9	94059
Q9NRH3	TUBG2	27175
Q6NUN7	JHY C11orf63	79864
O75054	IGSF3 EWI3 KIAA0466	3321
P10075	GLI4 HKR4	2738
Q9NUJ3	TCP11L1	55346
Q96RY7	IFT140 KIAA0590 WDTC2	9742
Q8N465	D2HGDH D2HGD	728294
Q6WRX3	ZYG11A ZYG11	440590
Q9Y2W6	TDRKH TDRD2	11022
Q32MH5	FAM214A KIAA1370	56204
Q86T90	KIAA1328	57536
Q6P9G0	CYB5D1	124637
A8K8P3	SFI1 KIAA0542	9814
Q9Y4F1	FARP1 CDEP PLEKHC2	10160
Q3ZCQ2	ANXA2R AX2R C5orf39	389289
Q8NHU3	SGMS2 SMS2	166929
O14559	ARHGAP33 SNX26 TCGAP	115703
Q6ZV70	LANCL3	347404
Q6ZUJ4	C3orf62	375341
Q5TCS8	AK9 AKD1 AKD2 C6orf199 C6orf224	221264
P56645	PER3 GIG13	8863
Q9H694	BICC1	80114
Q8IUQ4	SIAH1 HUMSIAH	6477
Q9BZE0	GLIS2 NKL	84662
Q96P71	NECAB3 APBA2BP NIP1 SYTIP2 XB51	63941
Q8N7M2	ZNF283	284349
Q7L3T8	PARS2	25973
Q6PH85	DCUN1D2 C13orf17 DCUN1L2	55208
Q9H4X1	RGCC C13orf15 RGC32	28984
Q9BQI5	SGIP1	84251
Q6P6B7	ANKRD16	54522
Q9BSW2	CRACR2A EFCAB4B	84766
Q9Y587	AP4S1	11154
Q7Z7A3	CTU1 ATPBD3 NCS6	90353
Q9BUY7	EFCAB11 C14orf143	90141
Q8NEC5	CATSPER1	117144
Q6XZF7	DNMBP ARHGEF36 KIAA1010 TUBA	23268
Q8NAF0	ZNF579	163033
Q9NPF8	ADAP2 CENTA2	55803
O75818	RPP40 RNASEP1	10799
Q2TB18	ASTE1 HT001	28990
Q8IUW5	RELL1 PSEC0162	768211
Q96PE7	MCEE	84693
Q5QGS0	NEXMIF KIAA2022	340533
Q13275	SEMA3F	6405
Q86YJ5	MARCHF9 MARCH9 RNF179	92979
Q05195	MXD1 MAD	4084
Q96FG2	ELMOD3 RBED1 RBM29 PP4068	84173
P43268	ETV4 E1AF PEA3	2118
Q96N19	GPR137 C11orf4 GPR137A TM7SF1L1	56834
P26045	PTPN3 PTPH1	5774
Q9Y6X0	SETBP1 KIAA0437	26040
Q96DC7	TMCO6 PRO1580	55374
Q96AH0	NABP1 OBFC2A SSB2	64859
Q9UHJ6	SHPK CARKL	23729
O75781	PALM KIAA0270	5064
P35548	MSX2 HOX8	4488
Q9C086	INO80B HMGA1L4 PAPA1 ZNHIT4	83444
Q99501	GAS2L1 GAR22	10634
Q96NJ6	ZFP3 ZNF752	124961
Q5U5X8	FAM222A C12orf34	84915
Q9H0I3	CCDC113 HSPC065	29070
Q9BU79	TMEM243 C7orf23	79161
Q9BZF2	OSBPL7 ORP7	114881
Q86VX9	MON1A SAND1	84315
O95995	GAS8 DRC4 GAS11	2622
P17040	ZSCAN20 KOX29 ZNF31 ZNF360	7579
Q6KCM7	SLC25A25 APC3 KIAA1896 MCSC3 SCAMC2 UNQ549/PRO1106	114789
Q9H649	NSUN3 MSTP077 UG0651E06	63899
Q96B77	TMEM186 C16orf51	25880
Q5W0U4	BSPRY	54836
Q9NVX7	KBTBD4 BKLHD4	55709
Q9Y2Q0	ATP8A1 ATPIA	10396
P55273	CDKN2D	1032
P50479	PDLIM4 RIL	8572
Q5VU97	CACHD1 KIAA1573 VWCD1	57685
Q9Y3Y4	PYGO1	26108
Q8TBF2	PRXL2B C1orf93 FAM213B	127281
Q70IA8	MOB3C MOBKL2C	148932
Q96JT2	SLC45A3 PCANAP6 PRST	85414
O75911	DHRS3 RDH17 SDR16C1 UNQ2424/PRO4983	9249
O95363	FARS2 FARS1 HSPC320	10667
Q9Y4R7	TTLL3 PRO0207	26140
P58004	SESN2 Hi95 SEST2	83667
Q5T6J7	IDNK C9orf103	414328
Q8IUW3	SPATA2L C16orf76	124044
Q9UK13	ZNF221	7638
Q9H6E4	CCDC134	79879
Q9BRX9	WDR83 MORG1	84292
Q3MIS6	ZNF528 KIAA1827	84436
O15040	TECPR2 KIAA0297 KIAA0329	9895
Q70EK8	USP53 KIAA1350	54532
Q13751	LAMB3 LAMNB1	3914
Q7Z7L9	ZSCAN2 ZFP29 ZNF854	54993
Q9BQL6	FERMT1 C20orf42 KIND1 URP1	55612
Q7Z2F6	ZNF720	124411
Q6ZMW2	ZNF782	158431
Q9NTG7	SIRT3 SIR2L3	23410
Q6UX98	ZDHHC24 UNQ2528/PRO6027	254359
Q14005	IL16	3603
Q9NWC5	TMEM45A DERP7 DNAPTP4	55076
Q15678	PTPN14 PEZ PTPD2	5784
P19801	AOC1 ABP1 DAO1	26
Q5S007	LRRK2 PARK8	120892
Q9H082	RAB33B	83452
O95822	MLYCD	23417
Q8WUY8	NAT14 KLP1	57106
Q2T9K0	TMEM44	93109
Q8N2U0	TMEM256 C17orf61	254863
Q9P0R6	GSKIP C14orf129 HSPC210	51527
Q16348	SLC15A2 PEPT2	6565
Q96T52	IMMP2L	83943
Q7L099	RUFY3 KIAA0871	22902
Q9BVM2	DPCD	25911
O43374	RASA4 CAPRI GAPL KIAA0538	10156
O76062	TM7SF2 ANG1	7108
Q9NRS6	SNX15	29907
A6NGR9	MROH6 C8orf73	642475
Q86VZ2	WDR5B	54554
Q9H251	CDH23 KIAA1774 KIAA1812 UNQ1894/PRO4340	64072
Q9HAS0	C17orf75	64149
Q1RMZ1	BMT2 C7orf60 SAMTOR	154743
P49914	MTHFS	10588
Q86X40	LRRC28 UNQ436/PRO867	123355
Q9Y3S1	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13	65268
Q6ZUX7	LHFPL2 KIAA0206	10184
Q15053	KIAA0040	9674
