Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
Q9ULX9	MAFF	23764
Q6ICL7	SLC35E4	339665
Q9H4T2	ZSCAN16 ZNF392 ZNF435	80345
Q13077	TRAF1 EBI6	7185
Q5JWF8	ACTL10 C20orf134	170487
P43235	CTSK CTSO CTSO2	1513
Q15771	RAB30	27314
Q96L03	SPATA17	128153
O95751	LDOC1 BCUR1	23641
Q53FD0	ZC2HC1C C14orf140 FAM164C	79696
P35080	PFN2	5217
Q16581	C3AR1 AZ3B C3R1 HNFAG09	719
Q96JQ2	CLMN KIAA1188	79789
Q9UMX2	OAZ3	51686
Q9Y6N6	LAMC3	10319
Q9NP84	TNFRSF12A FN14	51330
Q9NZ94	NLGN3 KIAA1480 NL3	54413
Q8NFW9	MYRIP SLAC2C	25924
O00187	MASP2	10747
Q9BXF3	CECR2 KIAA1740	27443
Q8WXF0	SRSF12 SFRS13B SFRS19 SRRP35	135295
P57077	MAP3K7CL C21orf7 TAK1L	56911
Q13255	GRM1 GPRC1A MGLUR1	2911
Q9NXL6	SIDT1	54847
Q8IZ63	PRR22	163154
O75173	ADAMTS4 KIAA0688 UNQ769/PRO1563	9507
Q9UJQ4	SALL4 ZNF797	57167
P00533	EGFR ERBB ERBB1 HER1	1956
Q16378	PRR4 LPRP PROL4	11272
Q9BXA5	SUCNR1 GPR91	56670
Q8N2H3	PYROXD2 C10orf33	84795
Q08495	DMTN DMT EPB49	2039
Q92826	HOXB13	10481
P61266	STX1B STX1B1 STX1B2	112755
Q6P6B1	ERICH5 C8orf47	203111
Q13972	RASGRF1 CDC25 GNRP GRF1	5923
Q12934	BFSP1	631
Q9BXM0	PRX KIAA1620	57716
Q3SYB3	FOXD4L6	653404
Q99878	H2AC14 H2AFE HIST1H2AJ	8331
Q14542	SLC29A2 DER12 ENT2 HNP36	3177
Q9NP31	SH2D2A SCAP TSAD VRAP	9047
P07942	LAMB1	3912
Q8IVB4	SLC9A9 NHE9 Nbla00118	285195
Q6VB84	FOXD4L3	286380
O75525	KHDRBS3 SALP SLM2	10656
P14061	HSD17B1 E17KSR EDH17B1 EDH17B2 EDHB17 SDR28C1	3292
O75800	ZMYND10 BLU LUCA12.4	51364
P0C0L5	C4B CO4 CPAMD3; C4B_2	721
P53420	COL4A4	1286
Q9UBY5	LPAR3 EDG7 LPA3	23566
O75493	CA11 CARP2 UNQ211/PRO237	770
P0C0L4	C4A CO4 CPAMD2	721,720
Q8TED1	GPX8 UNQ847/PRO1785	493869
Q96E40	SPACA9 C9orf9	11092
Q8NER5	ACVR1C ALK7	130399
Q969W9	PMEPA1 STAG1 TMEPAI	56937
P16144	ITGB4	3691
Q9Y2J4	AMOTL2 KIAA0989	51421
A6NI56	CCDC154 C16orf29	645811
P29972	AQP1 CHIP28	358
Q6PL45	BRICD5 C16orf79	283870
O95528	SLC2A10 GLUT10	81031
Q8TAE6	PPP1R14C KEPI	81706
Q8IVL1	NAV2 HELAD1 KIAA1419 POMFIL2 RAINB1 STEERIN2	89797
E9PQR5	NPIPB8	728734
O43155	FLRT2 KIAA0405 UNQ232/PRO265	23768
Q7Z6A9	BTLA	151888
Q9BQS2	SYT15	83849
Q9BZW5	TM6SF1	53346
Q14651	PLS1	5357
Q92754	TFAP2C	7022
Q7RTU1	TCF23 BHLHA24	150921
Q92519	TRIB2 TRB2	28951
P0C869	PLA2G4B	8681
P49682	CXCR3 GPR9	2833
A1L3X0	ELOVL7	79993
Q12955	ANK3	288
P30301	MIP AQP0	4284
Q9H426	RIMS4 C20orf190	140730
Q92784	DPF3 BAF45C CERD4	8110
P34096	RNASE4 RNS4	6038
Q8IVL6	P3H3 LEPREL2	10536
O60759	CYTIP PSCDBP	9595
O43623	SNAI2 SLUG SLUGH	6591
Q8N6N7	ACBD7	414149
Q8TAU0	NKX2-3 NKX23 NKX2C	159296
Q6NSJ5	LRRC8E	80131
Q8N9F7	GDPD1 GDE4	284161
O95754	SEMA4F SEMAM SEMAW	10505
Q9Y4K0	LOXL2	4017
Q92908	GATA6	2627
Q96DZ5	CLIP3 CLIPR59	25999
Q5T0W9	FAM83B C6orf143	222584
Q53FZ2	ACSM3 SAH	6296
Q96RI0	F2RL3 PAR4	9002
P24588	AKAP5 AKAP79	9495
Q5T5S1	CCDC183 KIAA1984	84960
P47736	RAP1GAP KIAA0474 RAP1GA1	5909
O75871	CEACAM4 CGM7	1089
Q86WR6	C17orf64	124773
O43187	IRAK2	3656
Q8N4L8	CCDC24	149473
P50607	TUB	7275
Q9UHE8	STEAP1 PRSS24 STEAP	26872
C9JI98	TMEM238	388564
Q5JS13	RALGPS1 KIAA0351 RALGEF2	9649
Q96BJ8	ELMO3	79767
Q86X45	LRRC6 LRTP TSLRP	23639
P00352	ALDH1A1 ALDC ALDH1 PUMB1	216
Q9P1Z3	HCN3 KIAA1535	57657
Q2V2M9	FHOD3 FHOS2 KIAA1695	80206
Q6ZN11	ZNF793	390927
Q63HR2	TNS2 KIAA1075 TENC1	23371
Q86SE8	NPM2	10361
O75192	PEX11A PEX11	8800
O60636	TSPAN2	10100
Q674R7	ATG9B APG9L2 NOS3AS	285973
Q6UWI2	PARM1 UNQ1879/PRO4322	25849
P0DPF5	C2orf27A	29798
Q969D9	TSLP	85480
Q04609	FOLH1 FOLH NAALAD1 PSM PSMA GIG27	2346
Q9H6F2	TMEM38A	79041
Q9UPA5	BSN KIAA0434 ZNF231	8927
P0C7M7	ACSM4	341392
Q8N3F9	GPR137C TM7SF1L2	283554
