	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
5095	563.7905	549.8726	447.7022	427.1388	446.7822	441.6351	479.4869	8.90534759
27090	114.7248	100.8642	636.2874	656.9825	698.7177	671.1364	479.7855	8.906245747
79095	127.8362	214.7432	632.2856	646.4668	631.7004	627.097	480.0215333	8.906955315
23587	249.1167	244.0263	584.7641	640.9586	580.8169	580.5764	480.0431667	8.907020332
129138	177.004	211.4895	599.2706	632.4458	630.4593	630.8186	480.2479667	8.907635695
7168	734.2387	885.0021	287.6299	308.9621	345.0152	320.6816	480.2549333	8.907656624
19	540.8455	491.3063	479.7167	426.1373	487.1167	457.1419	480.3774	8.908024469
11313	147.5033171	133.4010486	665.3004679	646.4667978	681.3428801	609.1090346	480.520591	8.908454444
57724	304.8402	387.1884	532.7406	528.7908	556.6162	573.1331	480.55155	8.908547391
1955	370.3972	344.8905	537.7429	554.8298	534.2771	543.36	480.91625	8.909641865
5337	590.0133	579.1558	404.1825	453.1777	441.818	417.4444	480.9652833	8.909788952
28991	291.7288	292.8316	609.7754	581.3694	543.585	568.7912	481.3469	8.910933189
51264	331.063	266.8021	601.7718	569.3515	560.3394	558.8668	481.3657667	8.910989735
57194	344.1744	374.1737	555.2508	541.3095	546.0672	531.5748	482.0917333	8.913163881
23659	95.05769	78.08842	663.2996	688.5297	670.1733	698.4285	482.2628683	8.913675924
256356	704.7381	689.781	347.1568	366.0474	390.9344	395.7348	482.39875	8.914082359
64224	527.7341	533.6042	449.2029	459.1867	478.4293	446.5973	482.4590833	8.914262784
5128	753.9058	673.5126	351.1586	345.5167	381.0059	394.4942	483.2656333	8.916672593
8837	488.3999	533.6042	477.7157	469.7024	470.3624	460.2433	483.3379833	8.916888564
254251	632.6253	758.1084	367.1658	368.5512	359.9079	414.343	483.4502667	8.917223675
376940	829.2964	849.2116	305.638	287.9306	334.4661	294.6301	483.5288	8.917458012
51701	616.2361	559.6337	404.6828	433.6485	446.7822	440.3945	483.5629667	8.917559951
90390	386.7865	370.92	532.7406	533.7983	547.9287	529.714	483.6480167	8.917813673
51367	514.6227	553.1263	464.7099	460.689	451.7465	459.623	484.0862333	8.919120257
6993	678.5153	780.8842	367.1658	373.0579	365.4927	339.9101	484.171	8.91937286
79058	213.0603	224.5042	617.2788	636.4518	615.5666	598.5644	484.2376833	8.919571544
54521	822.7407	728.8252	348.6575	313.4688	339.4304	353.5562	484.4464667	8.92019344
29965	203.2268	227.7579	621.2806	627.4383	621.1514	606.6279	484.5804833	8.920592491
83607	360.5637	315.6074	550.2485	552.8268	570.2679	559.4871	484.8335667	8.921345775
22846	186.8375	250.5337	614.2774	607.9091	641.0084	609.7293	485.0492333	8.921987381
79228	91.77984	94.35684	668.802	700.5477	665.8296	689.1244	485.0733967	8.922059248
63898	547.4012	621.4537	442.6999	435.6515	431.8895	433.5715	485.44455	8.923162703
79798	147.5033	110.6253	686.31	701.5492	623.6335	643.2241	485.4742333	8.923250916
